2021-03-11 19:46:48, {'time': '19:46:46', 0: 83.723, 1: -1809.4, 2: 66.535}
2021-03-11 19:47:03, {'time': '19:47:01', 0: 82.744, 1: -1809.4, 2: 66.515}
2021-03-11 19:47:18, {'time': '19:47:16', 0: 82.713, 1: -1809.4, 2: 66.497}
2021-03-11 19:47:33, {'time': '19:47:31', 0: 82.675, 1: -1809.4, 2: 66.474}
2021-03-11 19:47:48, {'time': '19:47:46', 0: 82.652, 1: -1809.4, 2: 66.441}
2021-03-11 19:48:03, {'time': '19:48:01', 0: 82.63, 1: -1809.4, 2: 66.416}
2021-03-11 19:48:18, {'time': '19:48:16', 0: 82.594, 1: -1809.4, 2: 66.394}
2021-03-11 19:48:33, {'time': '19:48:32', 0: 82.566, 1: -1809.4, 2: 66.367}
2021-03-11 19:48:48, {'time': '19:48:47', 0: 82.544, 1: -1809.4, 2: 66.348}
2021-03-11 19:49:03, {'time': '19:49:02', 0: 82.517, 1: -1809.4, 2: 66.328}
2021-03-11 19:49:18, {'time': '19:49:17', 0: 82.508, 1: -1809.4, 2: 66.304}
2021-03-11 19:49:33, {'time': '19:49:32', 0: 82.468, 1: -1809.4, 2: 66.279}
2021-03-11 19:49:48, {'time': '19:49:47', 0: 82.423, 1: -1809.4, 2: 66.256}
2021-03-11 19:50:03, {'time': '19:50:02', 0: 82.377, 1: -1809.4, 2: 66.232}
2021-03-11 19:50:18, {'time': '19:50:17', 0: 82.357, 1: -1809.4, 2: 66.209}
2021-03-11 19:50:33, {'time': '19:50:32', 0: 82.332, 1: -1809.4, 2: 66.184}
2021-03-11 19:50:48, {'time': '19:50:47', 0: 82.299, 1: -1809.4, 2: 66.171}
2021-03-11 19:51:03, {'time': '19:51:02', 0: 82.269, 1: -1809.4, 2: 66.151}
2021-03-11 19:51:18, {'time': '19:51:17', 0: 82.236, 1: -1809.4, 2: 66.133}
2021-03-11 19:51:33, {'time': '19:51:32', 0: 82.211, 1: -1809.4, 2: 66.117}
2021-03-11 19:51:48, {'time': '19:51:48', 0: 82.179, 1: -1809.4, 2: 66.094}
2021-03-11 19:52:03, {'time': '19:52:03', 0: 82.152, 1: -1809.4, 2: 66.07}
2021-03-11 19:52:18, {'time': '19:52:18', 0: 82.125, 1: -1809.4, 2: 66.047}
2021-03-11 19:52:33, {'time': '19:52:33', 0: 82.103, 1: -1809.4, 2: 66.027}
2021-03-11 19:52:48, {'time': '19:52:48', 0: 82.069, 1: -1809.4, 2: 66.011}
2021-03-11 19:53:03, {'time': '19:53:00', 0: 82.029, 1: -1809.4, 2: 65.995}
2021-03-11 19:53:18, {'time': '19:53:15', 0: 82.009, 1: -1809.4, 2: 65.977}
2021-03-11 19:53:33, {'time': '19:53:30', 0: 81.984, 1: -1809.4, 2: 65.953}
2021-03-11 19:53:48, {'time': '19:53:45', 0: 81.959, 1: -1809.4, 2: 65.934}
2021-03-11 19:54:03, {'time': '19:54:00', 0: 81.936, 1: -1809.4, 2: 65.923}
2021-03-11 19:54:18, {'time': '19:54:15', 0: 81.909, 1: -1809.4, 2: 65.903}
2021-03-11 19:54:33, {'time': '19:54:30', 0: 81.901, 1: -1809.4, 2: 65.887}
2021-03-11 19:54:48, {'time': '19:54:45', 0: 81.88, 1: -1809.4, 2: 65.876}
2021-03-11 19:55:03, {'time': '19:55:00', 0: 81.851, 1: -1809.4, 2: 65.867}
2021-03-11 19:55:18, {'time': '19:55:16', 0: 81.833, 1: -1809.4, 2: 65.853}
2021-03-11 19:55:33, {'time': '19:55:31', 0: 81.81, 1: -1809.4, 2: 65.831}
2021-03-11 19:55:48, {'time': '19:55:46', 0: 81.788, 1: -1809.4, 2: 65.822}
2021-03-11 19:56:03, {'time': '19:56:01', 0: 81.772, 1: -1809.4, 2: 65.811}
2021-03-11 19:56:18, {'time': '19:56:16', 0: 81.754, 1: -1809.4, 2: 65.8}
